type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4980592,0,84,0,0,5.230069,384,[84 -64 4 0 0 0 0 0 0 0 0 0 10 -26 10 -25 10 -25 12 -25 11 -23 12 -22 11 -22 11 -21 12 -21 12 -19 13 -20 13 -20 12 -18 12 -18 12 -17 11 -18 11 -16 10 -15 10 -15 9 -15 9 -15 8 -15 8 -13 8 -14 8 -14 6 -14 0 0 5 -14 4 -13 4 -13 3 -13 3 -13 2 -13 2 -13 1 -12 1 -12 0 -11 0 -12 0 -11 -1 -12 -2 -11 -1 -11 -2 -11 -3 -11 -3 -10 -3 -10 -4 -9 -4 -10 -4 -10 -5 -9 -5 -9 -5 -9 -5 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-54,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4986457,0,84,0,0,5.235032,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 -29 9 -28 9 -28 11 -27 11 -26 11 -24 11 -24 11 -24 12 -23 12 -22 12 -22 12 -22 12 -21 12 -21 11 -19 11 -20 10 -18 10 -18 9 -17 9 -17 9 -17 8 -17 8 -16 7 -16 7 -17 6 -16 0 0 5 -15 4 -15 3 -15 2 -14 3 -13 2 -14 1 -14 1 -13 0 -13 -1 -13 -1 -13 -1 -12 -1 -13 -2 -12 -2 -12 -3 -12 -3 -12 -4 -10 -4 -11 -5 -10 -4 -10 -5 -10 -6 -10 -6 -9 -6 -9 -6 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-50,11,1,4,0,1,1,1,0,0,0,-93,1,8,1,4991491,0,84,0,0,5.240610,256,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 -34 -9 -35 -9 -34 -8 -35 -7 -33 -6 -33 -5 -32 -4 -32 -4 -31 -3 -31 -3 -30 -3 -30 -3 -29 -3 -28 -2 -27 -3 -26 -2 -26 -2 -24 -2 -24 -3 -23 -3 -22 -3 -22 -3 -21 -4 -20 -4 -20 -4 -20 0 0 -5 -18 -6 -17 -6 -17 -6 -15 -7 -15 -7 -15 -7 -14 -8 -14 -8 -13 -8 -13 -9 -12 -9 -12 -10 -11 -10 -11 -10 -11 -10 -10 -10 -9 -11 -9 -10 -9 -11 -8 -11 -8 -12 -8 -11 -7 -12 -6 -11 -5 -12 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,4,1,1,1,1,0,0,0,-93,1,8,1,4998099,0,84,0,0,5.247476,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 -21 17 -20 17 -20 18 -19 18 -18 18 -16 17 -16 17 -16 18 -15 17 -14 18 -14 18 -14 17 -13 17 -12 16 -11 16 -13 15 -11 14 -11 13 -10 13 -10 13 -10 12 -10 12 -10 11 -10 12 -10 10 -10 0 0 10 -10 9 -10 8 -10 7 -10 7 -10 7 -11 7 -10 5 -10 5 -10 4 -10 4 -10 4 -10 4 -11 3 -11 3 -10 2 -11 2 -11 1 -10 1 -10 0 -10 0 -10 0 -10 0 -10 -1 -10 -1 -10 -2 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,4,1,1,1,1,0,0,0,-93,1,8,1,5004666,0,84,0,0,5.253895,384,[84 -64 4 0 0 0 0 0 0 0 0 0 28 -4 28 -4 28 -3 29 -1 27 -1 26 0 26 -1 25 -1 25 1 24 1 24 2 24 2 23 2 22 3 21 3 22 2 20 2 19 2 19 2 18 1 18 1 18 1 16 1 17 1 17 1 16 -1 0 0 14 -1 14 -1 14 -2 13 -3 13 -2 13 -3 13 -3 12 -4 11 -4 11 -5 11 -5 11 -5 10 -5 10 -6 10 -6 9 -7 9 -7 8 -7 8 -7 7 -8 7 -8 7 -8 7 -8 6 -8 6 -8 5 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-54,11,1,4,1,1,1,1,0,0,0,-93,1,8,1,5010697,0,84,0,0,5.259219,384,[84 -64 4 0 0 0 0 0 0 0 0 0 28 4 29 4 27 4 29 6 26 6 26 7 24 6 24 6 23 8 22 7 23 8 23 8 22 8 21 9 20 9 20 8 19 8 17 7 18 8 17 6 17 7 17 6 15 6 15 5 16 5 15 4 0 0 15 4 14 3 15 3 13 1 13 2 13 1 13 0 12 0 12 -1 11 -2 12 -2 12 -1 11 -2 11 -3 11 -3 11 -4 10 -3 10 -4 10 -5 9 -5 9 -5 9 -5 9 -6 8 -6 8 -6 7 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-52,11,1,4,1,1,1,1,0,0,0,-93,1,8,1,5021588,0,84,0,0,5.270040,384,[84 -64 4 0 0 0 0 0 0 0 0 0 23 10 23 10 22 11 23 13 21 12 19 12 19 12 19 12 18 12 17 12 17 13 17 13 16 12 15 13 14 12 15 12 14 11 13 10 13 11 13 10 13 10 12 10 11 8 12 8 12 8 12 7 0 0 12 6 11 6 12 5 11 4 11 5 11 4 11 4 10 3 10 2 10 1 11 1 10 1 10 1 10 0 10 0 10 -1 10 -1 9 -2 9 -2 8 -3 9 -3 9 -3 8 -3 9 -4 8 -4 7 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-52,11,1,4,1,1,1,1,0,0,0,-93,1,8,1,5022260,0,84,0,0,5.274262,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 24 6 24 6 24 5 25 4 24 3 23 4 23 3 22 2 22 2 21 1 22 1 21 0 20 0 20 0 19 1 19 0 18 0 17 1 17 1 17 1 16 1 16 1 14 1 15 1 15 2 14 0 0 3 13 3 12 3 12 4 11 3 11 4 11 5 11 5 9 5 9 5 8 5 9 5 9 6 8 6 7 6 7 7 7 7 7 7 6 7 5 7 4 7 5 7 5 8 4 8 4 7 4 7 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-54,11,1,4,1,1,1,1,0,0,0,-93,1,8,1,5027663,0,84,0,0,5.279760,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 25 5 24 4 25 3 25 3 25 2 23 2 23 1 22 1 22 1 22 0 22 0 21 0 21 0 20 -1 19 0 20 0 17 0 17 0 17 0 17 0 16 0 16 0 15 1 15 1 15 2 14 0 0 2 13 3 13 3 12 4 11 3 11 4 11 4 11 4 10 5 10 5 9 6 9 5 8 6 8 6 7 6 7 7 6 7 7 7 5 7 5 7 4 7 5 7 5 8 4 8 3 8 3 7 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-52,11,1,4,1,1,1,1,0,0,0,-93,1,8,1,5034017,0,84,0,0,5.285124,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 22 -12 22 -13 21 -15 22 -14 20 -14 18 -13 19 -14 18 -13 17 -14 16 -15 17 -15 16 -14 15 -14 15 -13 14 -13 15 -12 13 -12 12 -11 13 -11 13 -10 12 -10 13 -10 11 -10 12 -10 12 -8 12 0 0 -7 11 -7 11 -7 11 -5 11 -6 11 -5 11 -4 11 -3 10 -3 10 -2 10 -3 10 -2 10 -2 10 -1 10 -1 9 0 10 0 10 1 9 1 9 2 8 2 9 2 8 2 8 3 8 3 8 3 7 0 0 0 0 0 0 0 0 0 0 ]
